time,cars,avgSpeed,stoppedPct,frustrationPct,throughputPerMin,collisions,completedTrips
0.0,0,0.00,0.0,0.0,0.0,0,0
0.3,0,0.00,0.0,0.0,0.0,0,0
1.3,0,0.00,0.0,0.0,0.0,0,0
2.3,1,5.09,0.0,0.0,0.0,0,0
3.3,2,3.62,0.0,0.0,0.0,0,0
4.3,3,3.32,0.0,0.0,0.0,0,0
5.3,3,5.09,0.0,0.0,0.0,0,0
6.3,4,4.72,0.0,0.0,0.0,0,0
7.3,5,4.24,0.0,0.0,0.0,0,0
8.3,5,3.98,0.0,3.8,0.0,0,0
9.3,6,3.92,0.0,8.5,0.0,0,0
11.8,8,3.31,25.0,15.0,0.0,0,0
14.7,9,3.49,11.1,21.6,0.0,0,0
17.7,11,3.88,9.1,14.1,0.0,0,0
20.7,13,2.82,30.8,24.7,0.0,0,0
23.7,15,2.62,20.0,38.2,0.0,0,0
26.6,18,3.47,16.7,11.3,0.0,0,0
29.6,19,3.71,21.1,22.9,0.0,0,0
32.6,24,3.84,12.5,25.1,0.0,0,0
35.6,27,4.11,11.1,18.4,0.0,0,0
38.6,28,3.07,21.4,21.1,0.0,0,0
41.6,29,3.70,17.2,29.7,1.0,0,1
44.5,29,2.88,24.1,36.9,1.0,0,1
47.5,29,1.90,55.2,52.7,1.0,0,1
50.5,31,3.30,25.8,30.9,1.0,0,1
53.5,30,3.44,13.3,31.7,3.0,0,3
56.4,32,3.21,12.5,34.9,3.0,1,3
59.4,32,3.35,21.9,27.1,3.0,2,3
62.4,31,2.58,25.8,42.8,4.0,3,4
65.4,32,3.51,15.6,40.9,5.0,3,5
68.4,31,2.61,19.4,44.7,7.0,3,7
71.3,31,2.48,29.0,50.7,8.0,3,8
74.3,32,3.30,15.6,37.8,9.0,3,9
77.3,32,3.26,28.1,39.1,9.0,3,9
80.3,33,2.72,18.2,47.2,9.0,4,9
83.3,32,3.16,21.9,32.8,11.0,5,11
86.2,32,2.83,28.1,40.2,12.0,5,12
89.2,33,3.73,12.1,41.6,13.0,6,13
92.2,33,3.21,18.2,35.3,14.0,7,14
95.2,29,2.47,41.4,40.2,18.0,7,18
98.2,30,3.68,16.7,29.2,18.0,7,18
101.1,28,2.62,32.1,40.4,20.0,9,21
